23-6-2021 21:02:53 - Ch=3 size=392 tt=20:06:58.784 x=672 Q.f=65520 Q.v=96
23-6-2021 21:02:53 - Ch=3 size=336 tt=20:06:58.784 x=784 Q.f=65520 Q.v=95
23-6-2021 21:02:53 - Ch=3 size=278 tt=20:06:58.784 x=896 Q.f=65520 Q.v=94
23-6-2021 21:02:53 - Ch=3 size=344 tt=20:06:58.784 x=1008 Q.f=65520 Q.v=93
23-6-2021 21:02:53 - Ch=3 size=262 tt=20:06:58.784 x=1120 Q.f=65520 Q.v=92
23-6-2021 21:02:54 - Ch=3 size=306 tt=20:06:58.784 x=1232 Q.f=65520 Q.v=91
23-6-2021 21:02:54 - Ch=3 size=318 tt=20:06:58.784 x=1344 Q.f=65520 Q.v=90
23-6-2021 21:02:54 - Ch=3 size=358 tt=20:06:58.784 x=1456 Q.f=65520 Q.v=89
23-6-2021 21:02:54 -  count=14 step=1 time=72420016 y=744 y_last=744
23-6-2021 21:02:54 - Ch=3 size=116 tt=20:07:00.016 x=0 Q.f=65520 Q.v=77
23-6-2021 21:02:54 - Ch=3 size=122 tt=20:07:00.016 x=112 Q.f=65520 Q.v=79
23-6-2021 21:02:54 - Ch=3 size=170 tt=20:07:00.016 x=224 Q.f=65520 Q.v=81
23-6-2021 21:02:54 - Ch=3 size=146 tt=20:07:00.016 x=336 Q.f=65520 Q.v=83
23-6-2021 21:02:54 - Ch=3 size=154 tt=20:07:00.016 x=448 Q.f=65520 Q.v=85
23-6-2021 21:02:54 - Ch=3 size=160 tt=20:07:00.016 x=560 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=224 tt=20:07:00.016 x=672 Q.f=65520 Q.v=89
23-6-2021 21:02:54 - Ch=3 size=236 tt=20:07:00.016 x=784 Q.f=65520 Q.v=91
23-6-2021 21:02:54 - Ch=3 size=294 tt=20:07:00.016 x=896 Q.f=65520 Q.v=93
23-6-2021 21:02:54 - Ch=3 size=412 tt=20:07:00.016 x=1008 Q.f=65520 Q.v=95
23-6-2021 21:02:54 - Ch=3 size=472 tt=20:07:00.016 x=1120 Q.f=65520 Q.v=97
23-6-2021 21:02:54 - Ch=3 size=628 tt=20:07:00.016 x=1232 Q.f=65520 Q.v=99
23-6-2021 21:02:54 - Ch=3 size=698 tt=20:07:00.016 x=1344 Q.f=65520 Q.v=99
23-6-2021 21:02:54 - Ch=3 size=730 tt=20:07:00.016 x=1456 Q.f=65520 Q.v=99
23-6-2021 21:02:54 -  count=14 step=1 time=72421244 y=752 y_last=752
23-6-2021 21:02:54 - Ch=3 size=250 tt=20:07:01.244 x=0 Q.f=65520 Q.v=92
23-6-2021 21:02:54 - Ch=3 size=232 tt=20:07:01.244 x=112 Q.f=65520 Q.v=92
23-6-2021 21:02:54 - Ch=3 size=282 tt=20:07:01.244 x=224 Q.f=65520 Q.v=92
23-6-2021 21:02:54 - Ch=3 size=228 tt=20:07:01.244 x=336 Q.f=65520 Q.v=91
23-6-2021 21:02:54 - Ch=3 size=202 tt=20:07:01.244 x=448 Q.f=65520 Q.v=90
23-6-2021 21:02:54 - Ch=3 size=198 tt=20:07:01.244 x=560 Q.f=65520 Q.v=89
23-6-2021 21:02:54 - Ch=3 size=230 tt=20:07:01.244 x=672 Q.f=65520 Q.v=89
23-6-2021 21:02:54 - Ch=3 size=208 tt=20:07:01.244 x=784 Q.f=65520 Q.v=88
23-6-2021 21:02:54 - Ch=3 size=236 tt=20:07:01.244 x=896 Q.f=65520 Q.v=88
23-6-2021 21:02:54 - Ch=3 size=246 tt=20:07:01.244 x=1008 Q.f=65520 Q.v=88
23-6-2021 21:02:54 - Ch=3 size=228 tt=20:07:01.244 x=1120 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=234 tt=20:07:01.244 x=1232 Q.f=65520 Q.v=86
23-6-2021 21:02:54 - Ch=3 size=262 tt=20:07:01.244 x=1344 Q.f=65520 Q.v=85
23-6-2021 21:02:54 - Ch=3 size=256 tt=20:07:01.244 x=1456 Q.f=65520 Q.v=84
23-6-2021 21:02:54 -  count=14 step=1 time=72422476 y=760 y_last=760
23-6-2021 21:02:54 - Ch=3 size=286 tt=20:07:02.476 x=0 Q.f=65520 Q.v=94
23-6-2021 21:02:54 - Ch=3 size=270 tt=20:07:02.476 x=112 Q.f=65520 Q.v=93
23-6-2021 21:02:54 - Ch=3 size=304 tt=20:07:02.476 x=224 Q.f=65520 Q.v=92
23-6-2021 21:02:54 - Ch=3 size=228 tt=20:07:02.476 x=336 Q.f=65520 Q.v=91
